MasVnrArea,SaleType_WD,OverallQual,OverallCond,ExterQual_Gd,ExterCond_Fa,BsmtUnfSF,BsmtFinType1_LwQ,LotArea,YearBuilt,BsmtFinSF1,TotRmsAbvGrd,GarageCars,GarageArea,SalePrice
196.0,True,7,5,True,False,150,False,8450,2003,706,8,2,548,208500
0.0,True,6,8,False,False,284,False,9600,1976,978,6,2,460,181500
162.0,True,7,5,True,False,434,False,11250,2001,486,6,2,608,223500
0.0,True,7,5,False,False,540,False,9550,1915,216,7,3,642,140000
350.0,True,8,5,True,False,490,False,14260,2000,655,9,3,836,250000
0.0,True,5,5,False,False,64,False,14115,1993,732,5,2,480,143000
186.0,True,8,5,True,False,317,False,10084,2004,1369,7,2,636,307000
240.0,True,7,6,False,False,216,False,10382,1973,859,7,2,484,200000
0.0,True,7,5,False,False,952,False,6120,1931,0,8,2,468,129900
0.0,True,5,6,False,False,140,False,7420,1939,851,5,1,205,118000
0.0,True,5,5,False,False,134,False,11200,1965,906,5,1,384,129500
286.0,False,9,5,False,False,177,False,11924,2005,998,11,3,736,345000
0.0,True,5,6,False,False,175,False,12968,1962,737,4,1,352,144000
306.0,False,7,5,True,False,1494,False,10652,2006,0,7,3,840,279500
212.0,True,6,5,False,False,520,False,10920,1960,733,5,1,352,157000
0.0,True,7,8,False,False,832,False,6120,1929,0,5,2,576,132000
180.0,True,6,7,False,False,426,False,11241,1970,578,5,2,480,149000
0.0,True,4,5,False,False,0,False,10791,1967,0,6,2,516,90000
0.0,True,5,5,False,False,468,False,13695,2004,646,6,2,576,159000
0.0,False,5,6,False,False,525,True,7560,1958,504,6,1,294,139000
380.0,False,8,5,True,False,1158,False,14215,2005,0,9,3,853,325300
0.0,True,7,7,False,False,637,False,7449,1930,0,6,1,280,139400
281.0,True,8,5,True,False,1777,False,9742,2002,0,7,2,534,230000
0.0,True,5,7,False,False,200,False,4224,1976,840,6,2,572,129900
0.0,True,5,8,False,False,204,False,8246,1968,188,6,1,270,154000
640.0,True,8,5,True,False,1566,False,14230,2007,0,7,3,890,256300
0.0,True,5,7,False,False,180,False,7200,1951,234,5,2,576,134800
200.0,True,8,5,True,False,486,False,11478,2007,1218,7,3,772,306000
0.0,True,5,6,False,False,207,False,16321,1957,1277,6,1,319,207500
0.0,True,4,6,False,False,520,False,6324,1927,0,4,1,240,68500
0.0,True,4,4,False,True,649,False,8500,1920,0,6,1,250,40000
0.0,True,5,6,False,False,1228,False,8544,1966,0,6,1,271,149350
0.0,True,8,5,True,False,1234,False,11049,2007,0,7,2,484,179900
0.0,True,5,5,False,False,380,False,10552,1959,1018,6,2,447,165500
246.0,True,9,5,False,False,408,False,7313,2005,1153,6,2,556,277500
132.0,True,8,5,True,False,1117,False,13418,2004,0,9,3,691,309000
0.0,True,5,5,False,False,1097,False,10859,1994,0,6,2,672,145000
650.0,True,5,6,False,False,84,False,8532,1954,1213,5,2,498,153000
0.0,True,5,7,False,False,326,False,7922,1953,731,5,1,246,109000
0.0,True,4,5,False,False,0,False,6040,1955,0,6,0,0,82000
101.0,True,6,5,False,False,445,False,8658,1965,643,6,2,440,160000
0.0,True,5,6,False,False,383,False,16905,1959,967,5,1,308,170000
0.0,True,5,7,False,False,0,False,9180,1983,747,5,2,504,144000
0.0,True,5,6,False,False,167,True,9200,1975,280,5,1,308,130250
0.0,True,5,6,False,False,465,False,7945,1959,179,6,1,300,141000
412.0,True,9,5,False,False,1296,False,7658,2005,456,6,2,576,319900
0.0,True,7,5,True,False,83,False,12822,2003,1351,6,2,670,239686
0.0,True,8,5,True,False,1632,False,11096,2006,24,7,3,826,249700
0.0,False,4,5,False,False,736,False,4456,1920,0,8,0,0,113000
0.0,True,5,7,False,False,192,False,7742,1966,763,6,1,386,127000
0.0,True,6,6,False,False,612,False,13869,1997,182,6,2,388,177000
0.0,True,6,6,False,False,816,False,6240,1934,0,6,2,528,114500
0.0,True,5,5,False,False,0,True,8472,1963,104,5,2,516,110000
0.0,True,9,5,True,False,32,False,50271,1981,1810,5,3,894,385000
0.0,True,5,5,False,False,0,False,7134,1955,384,6,2,572,130000
272.0,True,6,5,False,False,935,False,10175,1964,490,7,2,576,180500
456.0,True,8,5,True,False,321,False,2645,1999,649,7,2,480,172500
0.0,True,7,5,True,False,860,False,11645,2004,0,7,2,565,196500
1031.0,False,10,5,False,False,1410,False,13682,2006,0,10,3,641,438780
0.0,True,5,7,False,False,148,False,7200,1972,632,4,1,352,124900
0.0,False,6,5,False,False,217,False,13072,2004,941,5,2,576,158000
0.0,True,5,7,False,False,530,False,7200,1920,0,6,1,288,101000
178.0,True,8,5,True,False,1346,False,6442,2006,24,6,2,484,202500
0.0,True,7,6,False,False,576,False,10300,1921,0,9,2,480,140000
573.0,True,7,5,False,False,318,False,9375,1997,739,8,2,645,219500
344.0,True,8,5,True,False,1143,False,9591,2004,0,9,3,852,317000
287.0,True,7,5,False,False,1035,False,19900,1970,912,7,2,576,180000
167.0,True,7,5,True,False,440,False,10665,2003,1013,7,2,558,226000
0.0,True,4,6,False,False,747,False,4608,1945,0,4,1,220,80000
0.0,True,7,4,True,False,701,False,15593,1953,603,7,2,667,225000
1115.0,True,7,6,False,False,343,False,13651,1973,1880,8,2,516,244000
0.0,True,4,6,False,False,280,False,7599,1982,565,4,2,360,129500
40.0,True,7,5,False,False,832,False,10141,1998,0,7,2,427,185000
104.0,True,5,7,False,False,404,False,10200,1954,320,6,2,490,144900
0.0,True,3,6,True,False,840,False,5790,1915,0,8,1,379,107400
0.0,True,4,5,False,False,0,False,1596,1973,462,5,1,297,91000
0.0,True,4,7,False,False,724,False,8475,1956,228,4,1,283,135750
0.0,True,5,5,False,False,295,False,8635,1948,336,6,1,240,127000
0.0,True,4,5,False,False,1768,False,10778,1968,0,8,0,0,136500
0.0,True,5,6,False,False,440,False,10440,1910,0,5,2,440,110000
576.0,True,6,6,False,False,448,False,13000,1968,448,8,1,509,193500
443.0,True,6,5,False,False,36,False,4500,1998,1201,5,2,405,153500
468.0,True,8,5,False,False,1530,False,10206,2007,33,6,3,758,245000
66.0,False,5,5,False,False,1065,False,8892,1960,0,6,2,461,126500
22.0,True,7,5,False,False,384,False,8530,1995,0,7,2,400,168500
284.0,True,8,5,True,False,1288,False,16059,1991,0,9,2,462,260000
0.0,True,6,5,True,False,684,False,11911,2005,0,6,2,400,174000
76.0,False,6,5,True,False,612,False,3951,2009,0,4,2,528,164500
0.0,False,3,2,False,True,1013,False,8470,1915,0,6,0,0,85000
0.0,True,4,5,False,False,402,False,8070,1994,588,5,0,0,123600
0.0,True,4,5,False,False,0,False,7200,1950,0,4,2,420,109900
203.0,True,5,3,False,False,635,False,8500,1961,600,6,2,480,98600
0.0,True,5,7,False,False,163,False,13360,1921,713,5,2,432,163500
0.0,True,6,6,False,False,168,False,7200,1910,1046,9,2,506,133900
0.0,True,6,5,False,False,176,False,9337,1997,648,7,2,684,204750
68.0,True,6,8,False,False,370,False,9765,1993,310,6,2,420,185000
183.0,True,7,5,True,False,426,False,10264,1999,1162,6,2,472,214000
48.0,True,4,5,False,False,440,False,10921,1965,520,6,1,432,94750
0.0,False,5,5,False,False,350,False,10625,1920,108,5,1,366,83000
0.0,True,4,5,False,False,381,False,9320,1959,569,6,0,0,128950
28.0,True,6,7,False,False,410,False,10603,1977,1200,6,2,480,205000
336.0,True,6,5,True,False,741,False,9206,1985,0,7,2,476,178000
0.0,True,5,5,False,True,0,False,7018,1979,0,8,2,410,118964
0.0,True,7,5,False,False,1226,False,10402,2009,0,6,3,740,198900
600.0,True,7,4,False,True,816,True,7758,1931,224,7,1,240,169500
768.0,True,8,5,True,False,1053,False,9375,2003,0,9,2,648,250000
0.0,True,4,7,False,False,641,False,10800,1885,0,6,1,273,100000
0.0,True,5,5,False,False,516,False,6000,1948,104,5,1,250,115000
0.0,True,5,7,False,False,793,False,8500,1919,0,7,0,0,115000
480.0,False,6,6,False,False,1139,False,11751,1977,705,7,2,546,190000
0.0,True,6,4,False,False,550,False,9525,1954,444,7,1,325,136900
0.0,True,7,5,False,False,134,False,7750,2000,250,7,2,400,180000
220.0,False,7,5,True,False,280,False,9965,2007,984,10,3,792,383970
184.0,False,6,5,False,False,905,False,21000,1953,35,7,2,450,217000
0.0,True,6,8,False,False,104,False,7259,1945,774,9,1,180,259500
1129.0,True,6,5,False,False,310,False,3230,1999,419,5,2,440,176000
116.0,True,5,5,False,False,252,True,11616,1962,170,6,1,288,139000
0.0,False,5,5,False,False,1125,False,8536,2006,0,5,2,430,155000
0.0,True,7,5,False,False,203,False,12376,1990,1470,11,3,594,320000
0.0,False,6,5,True,False,728,False,8461,2005,0,8,2,390,163990
0.0,True,6,5,False,False,0,False,21453,1969,938,4,2,540,180000
0.0,True,4,5,False,False,732,False,6060,1939,0,4,1,264,100000
135.0,True,6,7,False,False,510,False,9464,1958,570,5,1,288,136000
0.0,True,6,5,True,False,899,False,7892,1993,300,5,2,530,153900
0.0,True,6,5,False,False,1362,False,17043,1979,0,7,2,435,181000
0.0,True,6,8,False,True,30,False,6780,1935,490,5,0,0,84500
0.0,True,6,5,False,False,958,False,4928,1976,120,5,2,440,128000
0.0,True,5,7,False,False,556,True,4388,1930,116,5,0,0,87000
266.0,True,6,5,False,False,148,False,7590,1966,512,6,2,453,155000
85.0,True,5,7,False,False,413,False,8973,1958,567,6,2,750,150000
309.0,True,7,6,False,False,479,False,14200,1966,445,8,2,487,226000
40.0,True,6,5,True,False,297,False,12224,2000,695,7,2,390,244000
0.0,True,5,6,False,False,658,False,7388,1959,405,7,2,624,150750
136.0,True,8,5,True,False,262,False,6853,2001,1005,6,2,471,220000
0.0,True,5,6,False,False,891,False,10335,1968,570,7,2,440,180000
288.0,True,7,6,False,False,1304,False,10400,1970,0,7,2,530,174000
196.0,True,5,5,False,False,519,False,10355,1967,695,5,1,318,143000
70.0,True,7,5,False,False,1907,False,11070,1988,0,9,3,766,171000
320.0,True,8,5,True,False,336,False,9066,1999,668,7,3,660,230000
0.0,True,6,5,False,False,107,False,15426,1997,821,7,2,470,231500
0.0,False,4,5,False,False,432,False,10500,1971,432,5,0,0,115000
0.0,True,7,5,True,False,434,False,11645,2005,1300,7,2,660,260000
0.0,True,5,4,False,True,403,False,8520,1952,507,6,2,720,166000
183.0,True,7,5,True,False,811,False,10335,1999,679,6,2,577,204000
336.0,False,5,5,False,False,396,False,9100,1963,1332,10,2,504,125000
50.0,True,6,5,True,False,970,False,2522,2004,0,7,2,380,130000
0.0,True,5,7,False,False,506,False,6120,1931,209,5,1,180,105000
180.0,True,7,5,True,False,884,False,9505,2001,0,8,2,434,222500
