YearBuilt,TotalBathrooms,TotalArea,1stFlrSF,GarageCars,GrLivArea OverallQual,TotalBsmtSF,OverallQual,OverallQual,GrLivArea,GrLivArea,QualityToAreaRatio,SalePrice
2003.0,3.5,2566.0,856.0,2.0,11970.0,856.0,7.0,7.0,1710.0,1710.0,0.0027279812938425566,208500
1976.0,2.5,2524.0,1262.0,2.0,7572.0,1262.0,6.0,6.0,1262.0,1262.0,0.002377179080824089,181500
2001.0,3.5,2706.0,920.0,2.0,12502.0,920.0,7.0,7.0,1786.0,1786.0,0.0025868440502586844,223500
1915.0,2.0,2473.0,961.0,3.0,12019.0,756.0,7.0,7.0,1717.0,1717.0,0.0028305701577031944,140000
2000.0,3.5,3343.0,1145.0,3.0,17584.0,1145.0,8.0,8.0,2198.0,2198.0,0.0023930601256356566,250000
1993.0,2.5,2158.0,796.0,2.0,6810.0,796.0,5.0,5.0,1362.0,1362.0,0.0023169601482854493,143000
2004.0,3.0,3380.0,1694.0,2.0,13552.0,1686.0,8.0,8.0,1694.0,1694.0,0.002366863905325444,307000
1973.0,3.5,3197.0,1107.0,2.0,14630.0,1107.0,7.0,7.0,2090.0,2090.0,0.002189552705661558,200000
1931.0,2.0,2726.0,1022.0,2.0,12418.0,952.0,7.0,7.0,1774.0,1774.0,0.0025678650036683784,129900
1939.0,2.0,2068.0,1077.0,1.0,5385.0,991.0,5.0,5.0,1077.0,1077.0,0.0024177949709864605,118000
1965.0,2.0,2080.0,1040.0,1.0,5200.0,1040.0,5.0,5.0,1040.0,1040.0,0.002403846153846154,129500
2005.0,4.0,3499.0,1182.0,3.0,20916.0,1175.0,9.0,9.0,2324.0,2324.0,0.002572163475278651,345000
1962.0,2.0,1824.0,912.0,1.0,4560.0,912.0,5.0,5.0,912.0,912.0,0.0027412280701754384,144000
2006.0,2.0,2988.0,1494.0,3.0,10458.0,1494.0,7.0,7.0,1494.0,1494.0,0.0023427041499330657,279500
1960.0,2.5,2506.0,1253.0,1.0,7518.0,1253.0,6.0,6.0,1253.0,1253.0,0.0023942537909018356,157000
1929.0,1.0,1686.0,854.0,2.0,5978.0,832.0,7.0,7.0,854.0,854.0,0.004151838671411625,132000
1970.0,2.0,2008.0,1004.0,2.0,6024.0,1004.0,6.0,6.0,1004.0,1004.0,0.00298804780876494,149000
1967.0,2.0,1296.0,1296.0,2.0,5184.0,0.0,4.0,4.0,1296.0,1296.0,0.0030864197530864196,90000
2004.0,2.5,2228.0,1114.0,2.0,5570.0,1114.0,5.0,5.0,1114.0,1114.0,0.002244165170556553,159000
1958.0,1.0,2368.0,1339.0,1.0,6695.0,1029.0,5.0,5.0,1339.0,1339.0,0.0021114864864864866,139000
2005.0,3.5,3534.0,1158.0,3.0,19008.0,1158.0,8.0,8.0,2376.0,2376.0,0.0022637238256932655,325300
1930.0,1.0,1745.0,1108.0,1.0,7756.0,637.0,7.0,7.0,1108.0,1108.0,0.0040114613180515755,139400
2002.0,2.0,3572.0,1795.0,2.0,14360.0,1777.0,8.0,8.0,1795.0,1795.0,0.0022396416573348264,230000
1976.0,2.0,2100.0,1060.0,2.0,5300.0,1040.0,5.0,5.0,1060.0,1060.0,0.002380952380952381,129900
1968.0,2.0,2120.0,1060.0,1.0,5300.0,1060.0,5.0,5.0,1060.0,1060.0,0.0023584905660377358,154000
2007.0,2.0,3166.0,1600.0,3.0,12800.0,1566.0,8.0,8.0,1600.0,1600.0,0.002526847757422615,256300
1951.0,1.5,1800.0,900.0,2.0,4500.0,900.0,5.0,5.0,900.0,900.0,0.002777777777777778,134800
2007.0,3.0,3408.0,1704.0,3.0,13632.0,1704.0,8.0,8.0,1704.0,1704.0,0.002347417840375587,306000
1957.0,2.0,3084.0,1600.0,1.0,8000.0,1484.0,5.0,5.0,1600.0,1600.0,0.001621271076523995,207500
1927.0,1.0,1040.0,520.0,1.0,2080.0,520.0,4.0,4.0,520.0,520.0,0.0038461538461538464,68500
1920.0,1.0,1966.0,649.0,1.0,5268.0,649.0,4.0,4.0,1317.0,1317.0,0.002034587995930824,40000
1966.0,1.5,2456.0,1228.0,1.0,6140.0,1228.0,5.0,5.0,1228.0,1228.0,0.002035830618892508,149350
2007.0,2.0,2468.0,1234.0,2.0,9872.0,1234.0,8.0,8.0,1234.0,1234.0,0.0032414910858995136,179900
1959.0,2.0,3098.0,1700.0,2.0,8500.0,1398.0,5.0,5.0,1700.0,1700.0,0.0016139444803098773,165500
2005.0,3.0,3122.0,1561.0,2.0,14049.0,1561.0,9.0,9.0,1561.0,1561.0,0.0028827674567584883,277500
2004.0,3.5,3569.0,1132.0,3.0,19616.0,1117.0,8.0,8.0,2452.0,2452.0,0.002241524236480807,309000
1994.0,1.5,2194.0,1097.0,2.0,5485.0,1097.0,5.0,5.0,1097.0,1097.0,0.0022789425706472195,145000
1954.0,1.5,2594.0,1297.0,2.0,6485.0,1297.0,5.0,5.0,1297.0,1297.0,0.0019275250578257518,153000
1953.0,2.0,2114.0,1057.0,1.0,5285.0,1057.0,5.0,5.0,1057.0,1057.0,0.0023651844843897824,109000
1955.0,2.0,1152.0,1152.0,0.0,4608.0,0.0,4.0,4.0,1152.0,1152.0,0.003472222222222222,82000
1965.0,2.0,2412.0,1324.0,2.0,7944.0,1088.0,6.0,6.0,1324.0,1324.0,0.0024875621890547263,160000
1959.0,2.0,2678.0,1328.0,1.0,6640.0,1350.0,5.0,5.0,1328.0,1328.0,0.0018670649738610904,170000
1983.0,2.0,1724.0,884.0,2.0,4420.0,840.0,5.0,5.0,884.0,884.0,0.002900232018561485,144000
1975.0,2.0,1876.0,938.0,1.0,4690.0,938.0,5.0,5.0,938.0,938.0,0.0026652452025586353,130250
1959.0,2.0,2300.0,1150.0,1.0,5750.0,1150.0,5.0,5.0,1150.0,1150.0,0.002173913043478261,141000
2005.0,3.0,3504.0,1752.0,2.0,15768.0,1752.0,9.0,9.0,1752.0,1752.0,0.0025684931506849314,319900
2003.0,2.5,3583.0,1518.0,2.0,15043.0,1434.0,7.0,7.0,2149.0,2149.0,0.0019536701088473346,239686
2006.0,2.0,3312.0,1656.0,3.0,13248.0,1656.0,8.0,8.0,1656.0,1656.0,0.0024154589371980675,249700
1920.0,2.0,2188.0,736.0,0.0,5808.0,736.0,4.0,4.0,1452.0,1452.0,0.0018281535648994515,113000
1966.0,2.0,1910.0,955.0,1.0,4775.0,955.0,5.0,5.0,955.0,955.0,0.002617801047120419,127000
1997.0,2.5,2264.0,794.0,2.0,8820.0,794.0,6.0,6.0,1470.0,1470.0,0.00265017667844523,177000
1934.0,1.0,1632.0,816.0,2.0,7056.0,816.0,6.0,6.0,1176.0,1176.0,0.003676470588235294,114500
1963.0,2.0,1632.0,816.0,2.0,4080.0,816.0,5.0,5.0,816.0,816.0,0.0030637254901960784,110000
1981.0,2.5,3684.0,1842.0,3.0,16578.0,1842.0,9.0,9.0,1842.0,1842.0,0.0024429967426710096,385000
1955.0,1.0,1744.0,1360.0,2.0,6800.0,384.0,5.0,5.0,1360.0,1360.0,0.0028669724770642203,130000
1964.0,2.0,2850.0,1425.0,2.0,8550.0,1425.0,6.0,6.0,1425.0,1425.0,0.002105263157894737,180500
1999.0,3.5,2709.0,983.0,2.0,13912.0,970.0,8.0,8.0,1739.0,1739.0,0.0029531192321889995,172500
2004.0,2.5,2580.0,860.0,2.0,12040.0,860.0,7.0,7.0,1720.0,1720.0,0.0027131782945736434,196500
2006.0,3.5,4355.0,1426.0,3.0,29450.0,1410.0,10.0,10.0,2945.0,2945.0,0.002296211251435132,438780
1972.0,1.0,1560.0,780.0,1.0,3900.0,780.0,5.0,5.0,780.0,780.0,0.003205128205128205,124900
2004.0,2.5,2316.0,1158.0,2.0,6948.0,1158.0,6.0,6.0,1158.0,1158.0,0.0025906735751295338,158000
1920.0,1.0,1641.0,581.0,1.0,5555.0,530.0,5.0,5.0,1111.0,1111.0,0.0030469226081657527,101000
2006.0,2.0,2740.0,1370.0,2.0,10960.0,1370.0,8.0,8.0,1370.0,1370.0,0.00291970802919708,202500
1921.0,2.0,2286.0,902.0,2.0,11970.0,576.0,7.0,7.0,1710.0,1710.0,0.0030621172353455816,140000
1997.0,3.5,3091.0,1057.0,2.0,14238.0,1057.0,7.0,7.0,2034.0,2034.0,0.002264639275315432,219500
2004.0,2.5,3616.0,1143.0,3.0,19784.0,1143.0,8.0,8.0,2473.0,2473.0,0.0022123893805309734,317000
1970.0,3.0,4154.0,2207.0,2.0,15449.0,1947.0,7.0,7.0,2207.0,2207.0,0.001685122773230621,180000
2003.0,3.0,2932.0,1479.0,2.0,10353.0,1453.0,7.0,7.0,1479.0,1479.0,0.0023874488403819918,226000
1945.0,1.0,1494.0,747.0,1.0,2988.0,747.0,4.0,4.0,747.0,747.0,0.002677376171352075,80000
1953.0,2.0,3591.0,1304.0,2.0,16009.0,1304.0,7.0,7.0,2287.0,2287.0,0.001949317738791423,225000
1973.0,3.0,4446.0,2223.0,2.0,15561.0,2223.0,7.0,7.0,2223.0,2223.0,0.0015744489428699954,244000
1982.0,2.0,1690.0,845.0,2.0,3380.0,845.0,4.0,4.0,845.0,845.0,0.002366863905325444,129500
1998.0,2.5,2550.0,885.0,2.0,12026.0,832.0,7.0,7.0,1718.0,1718.0,0.0027450980392156863,185000
1954.0,2.0,2172.0,1086.0,2.0,5430.0,1086.0,5.0,5.0,1086.0,1086.0,0.0023020257826887663,144900
1915.0,2.0,2445.0,840.0,1.0,4815.0,840.0,3.0,3.0,1605.0,1605.0,0.001226993865030675,107400
1973.0,2.0,1450.0,526.0,1.0,3952.0,462.0,4.0,4.0,988.0,988.0,0.002758620689655172,91000
1956.0,1.0,1904.0,952.0,1.0,3808.0,952.0,4.0,4.0,952.0,952.0,0.0021008403361344537,135750
1948.0,2.0,1957.0,1072.0,1.0,6425.0,672.0,5.0,5.0,1285.0,1285.0,0.0025549310168625446,127000
1968.0,2.0,3536.0,1768.0,0.0,7072.0,1768.0,4.0,4.0,1768.0,1768.0,0.0011312217194570137,136500
1910.0,1.5,1670.0,682.0,2.0,6150.0,440.0,5.0,5.0,1230.0,1230.0,0.0029940119760479044,110000
1968.0,2.5,3038.0,1182.0,1.0,12852.0,896.0,6.0,6.0,2142.0,2142.0,0.0019749835418038184,193500
1998.0,3.0,2574.0,1337.0,2.0,8022.0,1237.0,6.0,6.0,1337.0,1337.0,0.002331002331002331,153500
2007.0,2.0,3126.0,1563.0,3.0,12504.0,1563.0,8.0,8.0,1563.0,1563.0,0.0025591810620601407,245000
1960.0,1.5,2130.0,1065.0,2.0,5325.0,1065.0,5.0,5.0,1065.0,1065.0,0.002347417840375587,126500
1995.0,2.5,1858.0,804.0,2.0,10318.0,384.0,7.0,7.0,1474.0,1474.0,0.003767491926803014,168500
1991.0,2.5,3705.0,1301.0,2.0,19336.0,1288.0,8.0,8.0,2417.0,2417.0,0.0021592442645074223,260000
2005.0,2.5,2244.0,684.0,2.0,9360.0,684.0,6.0,6.0,1560.0,1560.0,0.00267379679144385,174000
2009.0,2.5,1836.0,612.0,2.0,7344.0,612.0,6.0,6.0,1224.0,1224.0,0.0032679738562091504,164500
1915.0,1.0,2026.0,1013.0,0.0,4578.0,1013.0,3.0,3.0,1526.0,1526.0,0.0014807502467917078,85000
1994.0,2.0,1980.0,990.0,0.0,3960.0,990.0,4.0,4.0,990.0,990.0,0.00202020202020202,123600
1950.0,1.0,1040.0,1040.0,2.0,4160.0,0.0,4.0,4.0,1040.0,1040.0,0.0038461538461538464,109900
1961.0,1.0,2470.0,1235.0,2.0,6175.0,1235.0,5.0,5.0,1235.0,1235.0,0.0020242914979757085,98600
1921.0,2.0,1840.0,964.0,2.0,4820.0,876.0,5.0,5.0,964.0,964.0,0.002717391304347826,163500
1910.0,2.5,3505.0,1260.0,2.0,13746.0,1214.0,6.0,6.0,2291.0,2291.0,0.0017118402282453639,133900
1997.0,3.5,2610.0,905.0,2.0,10716.0,824.0,6.0,6.0,1786.0,1786.0,0.0022988505747126436,204750
1993.0,2.5,2150.0,680.0,2.0,8820.0,680.0,6.0,6.0,1470.0,1470.0,0.0027906976744186047,185000
1999.0,2.0,3176.0,1588.0,2.0,11116.0,1588.0,7.0,7.0,1588.0,1588.0,0.002204030226700252,214000
1965.0,2.0,1920.0,960.0,1.0,3840.0,960.0,4.0,4.0,960.0,960.0,0.0020833333333333333,94750
1920.0,1.0,1293.0,835.0,1.0,4175.0,458.0,5.0,5.0,835.0,835.0,0.0038669760247486465,83000
1959.0,2.5,2175.0,1225.0,0.0,4900.0,950.0,4.0,4.0,1225.0,1225.0,0.0018390804597701149,128950
1977.0,3.0,3220.0,1610.0,2.0,9660.0,1610.0,6.0,6.0,1610.0,1610.0,0.0018633540372670807,205000
1985.0,2.5,2473.0,977.0,2.0,10392.0,741.0,6.0,6.0,1732.0,1732.0,0.002426202992317024,178000
1979.0,2.0,1535.0,1535.0,2.0,7675.0,0.0,5.0,5.0,1535.0,1535.0,0.003257328990228013,118964
2009.0,2.0,2452.0,1226.0,3.0,8582.0,1226.0,7.0,7.0,1226.0,1226.0,0.0028548123980424145,198900
1931.0,1.5,2858.0,1226.0,1.0,12726.0,1040.0,7.0,7.0,1818.0,1818.0,0.00244926522043387,169500
2003.0,2.5,3045.0,1053.0,2.0,15936.0,1053.0,8.0,8.0,1992.0,1992.0,0.002627257799671593,250000
1885.0,1.0,1688.0,1047.0,1.0,4188.0,641.0,4.0,4.0,1047.0,1047.0,0.002369668246445498,100000
1948.0,1.0,1578.0,789.0,1.0,3945.0,789.0,5.0,5.0,789.0,789.0,0.0031685678073510772,115000
1919.0,2.0,2310.0,997.0,0.0,7585.0,793.0,5.0,5.0,1517.0,1517.0,0.0021645021645021645,115000
1977.0,2.0,3688.0,1844.0,2.0,11064.0,1844.0,6.0,6.0,1844.0,1844.0,0.0016268980477223427,190000
